reg_id,cell_viability,processing_date,comment,RNA isolation kit,Kit lot number,Elution vol (ul),Macrophage RNA Tube ID,Macrophage RNA Tube Location Box ID,Date of RNA QC,RNA volume for QC,RIN,RNA concentration (pg/ul),TS comment,TechCore comment,Sequence?,TapeStation assay type,ul for 250 pg,Complete?,Library prep date,Sample,RNA Tube ID,Library prep plate,RNAseq batch
subject_2455,48.4,2019-04-19,,,,,,,,,5.9,4630.8,,,Yes,,,,,,,,
subject_2213,65.8,2020-06-14,All 7 mL of sample were processed - cell count was too low to sort,QIAGEN RNeasy Micro,161004778.0,14.0,,,,,,,,,,,,,,,,,
subject_2638,93.5,,,,,,,,,,,,,,,,,,,,,,
subject_3835,59.8,,,,,,,,,,,,,,,,,,,,,,
subject_2532,59.7,2018-08-03,,Norgen Single Cell RNA kit,160052304.0,14.0,302240180.0,TS01069817,2018-08-05,1.0,,13819.6,ok,Use for sequencing.,Yes,Standard RNA,6.58,Complete,2018-08-30,2532-SMP-08,302240180.0,H1,SCRIPT_RNAseq_Batch_02
subject_3498,79.6,2021-11-28,All 7 mL of sample were processed - cell count was too low to sort,,,,,,,,,,,,,,,,,,,,
subject_8787,80.4,2018-12-11,Sample extremely viscous; was diluted with MACs buffer prior to filtering (no supernatant sample collected),Norgen Single Cell RNA kit,170220164.0,16.0,,,,,,,,,,,,,,,,,
subject_4969,73.0,,RNA concentration outside recommended range for RINe,,,,,,,,,,,,,,,,,,,,
subject_5666,80.9,,,,,,,,,,,,,,,,,,,,,,
subject_4290,93.4,2021-01-05,,QIAGEN RNeasy Plus Micro,170220164.0,18.0,300073458.0,TS01063219,2021-01-08,1.0,7.2,39780.4,RNA concentration outside recommended range for RINe,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,Standard RNA,0.67,Complete,2021-01-15,4290-SMP-01,300073458.0,G1,SCRIPT_RNAseq_Batch_01
subject_6175,59.5,2017-01-13,,Norgen Single Cell RNA kit,170220164.0,18.0,302197699.0,TS01064421,2017-01-13,2.0,,446.3,RNA concentration outside recommended range for RINe; RINe edited,Use for sequencing.,Yes,HSRNA,7.3,Partial,2017-01-28,6175-SMP-09,302197699.0,D1,SCRIPT_RNAseq_Batch_02
subject_6193,99.0,2017-06-27,,,,,,,,,,,,,No,,,,,,,,
subject_3552,61.2,,,,,,,,,,,,,,,,,,,,,,
subject_6282,66.5,,,,,,,,,,,,,,,,,,,,,,
subject_4985,68.4,,,,,,,,,,,,,,,,,,,,,,
subject_3964,,,,,,,,,,,,,,,,,,,,,,,
subject_4385,67.7,2025-06-28,"Traces look ok, decent 18S and 28S peaks. Use for sequencing.",QIAGEN RNeasy Plus Micro,161004778.0,16.0,300887377.0,TS01064421,2025-06-30,2.0,8.6,404.5,RNA concentration outside recommended range for RINe,ok,Yes,Pico RNA,2.74,Complete,2025-07-26,4385-SMP-02,300887377.0,D1,SCRIPT_RNAseq_Batch_03
subject_3162,36.4,,,,,,,,,,,,,,,,,,,,,,
subject_7741,,2018-08-26,Sample extremely viscous; was diluted with MACs buffer prior to filtering (no supernatant sample collected),QIAGEN RNeasy Micro,161004778.0,16.0,301889717.0,TS01064421,2018-08-27,2.0,,107.7,RNA concentration outside recommended range for RINe; RINe edited,ok,Yes,HSRNA,1.57,Complete,2018-09-16,7741-SMP-06,301889717.0,B1,SCRIPT_RNAseq_Batch_04
subject_8762,80.5,,RNA concentration outside recommended range for RINe,,,,,,,,,,,,,,,,,,,,
subject_8221,69.7,,,,,,,,,,,,,,,,,,,,,,
subject_5759,73.7,,,,,,,,,,,,,,,,,,,,,,
subject_6739,33.4,2019-08-20,,Norgen Single Cell RNA kit,170220164.0,14.0,303699432.0,TS01069817,,,,,,,,,,,,6739-SMP-01,303699432.0,,
subject_3907,61.0,,,,,,,,,,,,,,,,,,,,,,
subject_6030,,,,,,,,,,,,,,,,,,,,6030-SMP-07,,,
subject_6014,96.4,,Sample extremely viscous; was diluted with MACs buffer prior to filtering (no supernatant sample collected),Norgen Single Cell RNA kit,170220164.0,14.0,,,,,8.7,7380.3,,,No,,,,,,,,
subject_6386,60.2,,,,,,,,,,,,,,,,,,,,,,
subject_4880,59.4,2016-01-05,,Norgen Single Cell RNA kit,170220164.0,12.0,301733756.0,TS01064421,,,,,,,,,,,,4880-SMP-05,301733756.0,,
subject_2028,64.4,,,,,,,,,,,,,,,,,,,,,,
subject_4355,55.1,,,,,,,,,,,,,,,,,,,,,,
subject_5065,92.2,2016-11-02,All 7 mL of sample were processed - cell count was too low to sort,Norgen Single Cell RNA kit,170220164.0,16.0,303216120.0,TS01063219,2016-11-03,1.0,,1059.6,RNA concentration outside recommended range for RINe,Use for sequencing.,Yes,HSRNA,7.27,Complete,2016-11-19,5065-SMP-03,303216120.0,E1,SCRIPT_RNAseq_Batch_04
subject_3858,48.5,2019-06-29,,Norgen Single Cell RNA kit,160052304.0,16.0,304787812.0,TS01069817,2019-07-01,3.0,,27770.9,RNA concentration outside recommended range for RINe,Use for sequencing.,No,HSRNA,3.5,Complete,2019-08-01,3858-SMP-00,304787812.0,G1,SCRIPT_RNAseq_Batch_04
subject_6519,75.0,,,,,,,,,,,,,,,,,,,6519-SMP-09,,,
subject_2148,72.5,,,,,,,,,,,,,,,,,,,2148-SMP-01,,,
subject_3770,54.1,,,,,,,,,,,,,,,,,,,,,,
subject_4174,41.3,,,,,,,,,,,,,,,,,,,,,,
subject_8886,68.3,,,,,,,,,,,,,,,,,,,,,,
subject_7604,59.9,2024-12-30,,QIAGEN RNeasy Micro,160052304.0,14.0,301613787.0,TS01063219,2025-01-01,2.0,,741.3,RNA concentration outside recommended range for RINe,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,Pico RNA,0.02,Partial,2025-01-14,7604-SMP-00,301613787.0,F1,SCRIPT_RNAseq_Batch_02
subject_6552,59.3,,,,,,,,,,,,,,,,,,,,,,
subject_4872,70.8,,,,,,,,,,,,,,,,,,,,,,
subject_6710,84.1,2019-04-29,,,,,,,,,7.0,658.0,,,Yes,,,,,,,,
subject_8171,48.6,,,,,,,,,,,,,,,,,,,,,,
subject_7529,66.0,,,,,,,,,,,,,,,,,,,,,,
subject_7445,,,,,,,,,,,,,,,,,,,,,,,
subject_6329,55.2,,,,,,,,,,,,,,,,,,,,,,
subject_6193,56.1,,,,,,,,,,,,,,,,,,,,,,
subject_6675,54.6,2018-05-11,,QIAGEN RNeasy Micro,160052304.0,18.0,300236802.0,TS01069817,2018-05-14,3.0,7.5,918.1,RNA concentration outside recommended range for RINe; RINe edited,Use for sequencing.,Yes,Pico RNA,1.31,Complete,2018-06-09,6675-SMP-00,300236802.0,G1,SCRIPT_RNAseq_Batch_02
subject_5146,63.0,2018-01-23,Sample extremely viscous; was diluted with MACs buffer prior to filtering (no supernatant sample collected),QIAGEN RNeasy Micro,161004778.0,14.0,300012862.0,TS01064421,2018-01-23,3.0,8.8,8235.9,RNA concentration outside recommended range for RINe; RINe edited,ok,Yes,Standard RNA,5.03,Partial,2018-02-27,5146-SMP-09,300012862.0,A1,SCRIPT_RNAseq_Batch_04
subject_5954,47.7,,,,,,,,,,,,,,,,,,,,,,
subject_4990,66.5,,RNA concentration outside recommended range for RINe,,,,,,,,7.5,274.6,,,No,,,,,,,,
subject_2468,68.8,2021-06-12,All 7 mL of sample were processed - cell count was too low to sort,Norgen Single Cell RNA kit,161004778.0,14.0,301949860.0,TS01064421,2021-06-13,1.0,,87.2,ok,Use for sequencing.,Yes,HSRNA,3.29,Complete,2021-06-26,2468-SMP-09,301949860.0,A1,SCRIPT_RNAseq_Batch_02
subject_8190,60.7,2016-01-02,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",QIAGEN RNeasy Plus Micro,160047191.0,14.0,300921226.0,TS01063219,2016-01-04,3.0,8.7,130.9,RNA concentration outside recommended range for RINe,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,Standard RNA,5.26,Partial,2016-01-21,8190-SMP-00,300921226.0,D1,SCRIPT_RNAseq_Batch_01
subject_8241,71.4,,All 7 mL of sample were processed - cell count was too low to sort,,,,,,,,7.6,587.0,,,No,,,,,,,,
subject_4257,66.8,,,,,,,,,,,,,,,,,,,,,,
subject_8769,88.4,,,,,,,,,,,,,,,,,,,,,,
subject_7120,70.5,2016-02-09,,QIAGEN RNeasy Micro,160047191.0,14.0,,,,,,,,,,,,,,,,,
subject_3794,42.8,,,,,,,,,,,,,,,,,,,,,,
subject_6995,43.6,2019-07-07,"Traces look ok, decent 18S and 28S peaks. Use for sequencing.",,,,301961977.0,TS01063219,,,,,,,,,,,,6995-SMP-01,301961977.0,,
subject_3867,90.4,,,,,,,,,,,,,,,,,,,,,,
subject_8698,63.3,2019-02-08,,,,,,,,,,,,,,,,,,,,,
subject_4649,36.7,,RNA concentration outside recommended range for RINe,,,,,,,,,,,,,,,,,,,,
subject_7704,74.7,,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",,,,,,,,,,,,,,,,,,,,
subject_5596,45.7,,,,,,,,,,,,,,No,,,,,,,,
subject_4214,41.9,,,,,,,,,,,,,,,,,,,,,,
subject_4991,,,,,,,,,,,,,,,,,,,,4991-SMP-08,,,
subject_3374,82.9,,,,,,,,,,,,,,,,,,,,,,
subject_7857,29.8,,,,,,,,,,,,,,,,,,,,,,
subject_7463,70.1,2016-10-06,,Norgen Single Cell RNA kit,160047191.0,14.0,302547608.0,TS01064421,2016-10-07,1.0,,613.1,RNA concentration outside recommended range for RINe,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,Standard RNA,5.22,Complete,2016-11-08,7463-SMP-02,302547608.0,D1,SCRIPT_RNAseq_Batch_02
subject_5478,53.1,,,,,,,,,,,,,,,,,,,,,,
subject_5659,25.3,,,,,,,,,,,,,,,,,,,,,,
subject_3287,79.3,,,,,,,,,,,,,,,,,,,,,,
subject_6753,60.4,2018-10-12,,QIAGEN RNeasy Micro,170220164.0,14.0,301757121.0,TS01063219,,,8.8,250.5,,,Yes,,,,,6753-SMP-07,301757121.0,,
subject_5751,30.6,2021-01-24,,Norgen Single Cell RNA kit,160052304.0,14.0,,,,,,,,,,,,,,,,,
subject_7788,25.3,2018-08-13,,QIAGEN RNeasy Micro,170220164.0,12.0,302988836.0,TS01063219,2018-08-13,2.0,6.6,17533.9,RNA concentration outside recommended range for RINe; RINe edited,ok,Yes,Pico RNA,3.84,Complete,2018-09-11,7788-SMP-06,302988836.0,A1,SCRIPT_RNAseq_Batch_03
subject_7313,48.4,,,,,,,,,,,,,,,,,,,,,,
subject_2768,78.1,2023-09-11,,QIAGEN RNeasy Micro,170220164.0,12.0,,,,,,,,,,,,,,,,,
subject_7865,50.8,2019-10-05,,,,,,,,,,,,,,,,,,,,,
subject_4825,45.1,,,,,,,,,,,,,,,,,,,,,,
subject_8279,,,,,,,,,,,,,,,,,,,,,,,
subject_4597,77.3,2019-06-07,"Traces look ok, decent 18S and 28S peaks. Use for sequencing.",,,,,,,,,,,,,,,,,,,,
subject_2053,64.8,2021-03-24,,,,,,,,,5.7,63.0,,,Yes,,,,,,,,
subject_4872,59.2,2019-07-16,,,,,,,,,,,,,,,,,,,,,
subject_7343,41.1,,,,,,,,,,,,,,,,,,,,,,
subject_4318,,,,,,,,,,,,,,,No,,,,,,,,
subject_5676,48.1,,,,,,,,,,,,,,,,,,,,,,
subject_3912,76.2,,,,,,,,,,,,,,,,,,,,,,
subject_3748,96.1,2016-12-04,,,,,,,,,,,,,,,,,,,,,
subject_8520,63.1,2021-10-01,"Traces look ok, decent 18S and 28S peaks. Use for sequencing.",Norgen Single Cell RNA kit,170220164.0,16.0,304746963.0,TS01064421,2021-10-01,1.0,,1162.4,RNA concentration outside recommended range for RINe,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,Pico RNA,1.47,Partial,2021-10-30,8520-SMP-04,304746963.0,E1,SCRIPT_RNAseq_Batch_04
subject_5202,70.5,,,,,,,,,,,,,,,,,,,,,,
subject_2806,,,,,,,,,,,,,,,,,,,,,,,
subject_3047,90.7,2022-01-24,,QIAGEN RNeasy Micro,161004778.0,12.0,301232639.0,TS01069817,2022-01-26,2.0,,46.4,,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,Standard RNA,4.14,Complete,2022-02-05,3047-SMP-08,301232639.0,F1,SCRIPT_RNAseq_Batch_03
subject_8920,72.0,2020-12-11,,QIAGEN RNeasy Micro,170220164.0,14.0,304854460.0,TS01064421,2020-12-13,2.0,6.5,397.6,RNA concentration outside recommended range for RINe,ok,Yes,HSRNA,6.01,Complete,2021-01-12,8920-SMP-08,304854460.0,G1,SCRIPT_RNAseq_Batch_04
subject_3618,61.7,2021-05-03,,,,,,,,,,,,,,,,,,,,,
subject_4162,58.0,,,,,,,,,,,,,,,,,,,,,,
subject_5214,93.8,2017-03-20,,QIAGEN RNeasy Micro,160047191.0,16.0,,,,,6.1,153.7,,,Yes,,,,,,,,
subject_2293,90.5,2020-05-29,,,,,304494910.0,TS01063219,,,,,,,,,,,,2293-SMP-05,304494910.0,,
subject_5974,40.4,,,,,,,,,,,,,,,,,,,,,,
subject_2276,79.2,2018-06-28,,,,,,,,,,,,,,,,,,,,,
subject_7201,79.6,2021-05-26,,QIAGEN RNeasy Plus Micro,161004778.0,12.0,302189724.0,TS01063219,2021-05-27,3.0,8.4,63.8,RNA concentration outside recommended range for RINe,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",No,HSRNA,5.46,Complete,2021-06-02,7201-SMP-09,302189724.0,D1,SCRIPT_RNAseq_Batch_01
subject_5857,83.5,,"Traces look ok, decent 18S and 28S peaks. Use for sequencing.",Norgen Single Cell RNA kit,160052304.0,14.0,,,,,,,,,,,,,,,,,
subject_4684,92.2,,,,,,,,,,,,,,,,,,,,,,
subject_2579,52.2,,RNA concentration outside recommended range for RINe,,,,,,,,,,,,,,,,,,,,
subject_5804,72.6,2018-05-31,,QIAGEN RNeasy Micro,160052304.0,16.0,304836313.0,TS01064421,,,,,,,,,,,,5804-SMP-01,304836313.0,,
subject_8912,58.4,,,,,,,,,,,,,,,,,,,,,,
subject_7459,66.0,2019-12-02,,,,,,,,,,,,,,,,,,,,,
subject_5056,58.0,2022-02-20,,Norgen Single Cell RNA kit,161004778.0,14.0,301230348.0,TS01064421,2022-02-20,3.0,,37.4,,Use for sequencing.,Yes,HSRNA,4.68,Partial,2022-03-27,5056-SMP-04,301230348.0,E1,SCRIPT_RNAseq_Batch_04
subject_3621,31.2,,,,,,,,,,,,,,,,,,,3621-SMP-00,,,
subject_4721,51.5,,,,,,,,,,,,,,,,,,,,,,
subject_3855,38.7,,,,,,,,,,,,,,,,,,,,,,
subject_8820,34.9,,,,,,,,,,,,,,,,,,,,,,
subject_7544,48.5,,,,,,,,,,,,,,,,,,,,,,
subject_6802,76.5,2016-10-21,"Traces look ok, decent 18S and 28S peaks. Use for sequencing.",Norgen Single Cell RNA kit,161004778.0,18.0,304213586.0,TS01063219,2016-10-22,1.0,6.7,61.9,,Use for sequencing.,No,HSRNA,6.96,Complete,2016-11-17,6802-SMP-04,304213586.0,D1,SCRIPT_RNAseq_Batch_03
subject_8221,88.4,,,,,,,,,,,,,,,,,,,,,,
subject_6738,77.7,2021-01-31,,Norgen Single Cell RNA kit,161004778.0,16.0,302152845.0,TS01069817,2021-02-01,3.0,,5126.5,,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,Standard RNA,3.66,Partial,2021-03-02,6738-SMP-06,302152845.0,B1,SCRIPT_RNAseq_Batch_01
subject_3622,58.3,,,,,,,,,,,,,,,,,,,,,,
subject_7168,71.2,,,,,,,,,,,,,,,,,,,,,,
subject_5091,43.1,2016-01-02,,QIAGEN RNeasy Plus Micro,170220164.0,18.0,302543098.0,TS01064421,2016-01-03,1.0,,11046.7,RNA concentration outside recommended range for RINe,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,Standard RNA,4.19,Complete,2016-01-29,5091-SMP-00,302543098.0,C1,SCRIPT_RNAseq_Batch_03
subject_6695,63.4,,,,,,,,,,,,,,,,,,,,,,
subject_7663,67.8,,,,,,,,,,,,,,,,,,,7663-SMP-04,,,
subject_7250,64.9,,,,,,,,,,,,,,,,,,,,,,
subject_8476,67.0,2020-05-23,,QIAGEN RNeasy Plus Micro,160052304.0,16.0,301578967.0,TS01063219,2020-05-23,2.0,,32.3,RNA concentration outside recommended range for RINe; RINe edited,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,Pico RNA,5.45,Complete,2020-06-11,8476-SMP-04,301578967.0,H1,SCRIPT_RNAseq_Batch_01
subject_4425,25.3,,,,,,,,,,,,,,,,,,,,,,
subject_2558,65.6,,,,,,,,,,,,,,,,,,,,,,
subject_4561,67.5,2018-07-13,,,,,,,,,,,,,,,,,,,,,
subject_8831,75.0,,Sample extremely viscous; was diluted with MACs buffer prior to filtering (no supernatant sample collected),,,,,,,,,,,,,,,,,,,,
subject_8535,29.1,,"Traces look ok, decent 18S and 28S peaks. Use for sequencing.",,,,,,,,,,,,,,,,,,,,
subject_4804,36.2,2018-03-03,,Norgen Single Cell RNA kit,170220164.0,16.0,,,,,,,,,,,,,,,,,
subject_2210,88.2,,,,,,,,,,,,,,,,,,,,,,
subject_4365,95.1,2017-02-01,,QIAGEN RNeasy Micro,160047191.0,16.0,300387555.0,TS01063219,2017-02-01,1.0,8.3,72.4,,Use for sequencing.,Yes,HSRNA,6.19,Complete,2017-03-07,4365-SMP-00,300387555.0,D1,SCRIPT_RNAseq_Batch_01
subject_7541,73.0,,,,,,301220760.0,TS01064421,,,7.0,3856.6,,,No,,,,,7541-SMP-00,301220760.0,,
subject_4852,41.8,,,,,,,,,,,,,,,,,,,,,,
subject_2927,75.0,,,,,,,,,,,,,,,,,,,,,,
subject_7741,,,,,,,,,,,,,,,,,,,,7741-SMP-05,,,
subject_4244,65.6,,,,,,,,,,,,,,,,,,,,,,
subject_3749,85.5,,,,,,,,,,,,,,,,,,,,,,
subject_2053,,2021-07-06,,Norgen Single Cell RNA kit,160052304.0,18.0,304119885.0,TS01064421,2021-07-06,3.0,8.9,40.7,RNA concentration outside recommended range for RINe,Use for sequencing.,Yes,Pico RNA,3.19,Partial,2021-08-03,2053-SMP-04,304119885.0,A1,SCRIPT_RNAseq_Batch_04
subject_7560,62.9,2020-11-24,,,,,,,,,,,,,,,,,,,,,
subject_7560,81.6,,Sample extremely-mucous like; small yield in cells and insufficient amount to sort,Norgen Single Cell RNA kit,160047191.0,12.0,302984433.0,TS01063219,,,,,,,,,,,,7560-SMP-09,302984433.0,,
subject_5432,44.9,,,,,,,,,,,,,,,,,,,5432-SMP-01,,,
subject_3776,72.4,,,,,,,,,,,,,,No,,,,,,,,
subject_2729,,,,,,,,,,,,,,,,,,,,,,,
subject_5989,76.4,2020-05-16,,,,,,,,,,,,,,,,,,,,,
subject_8599,98.5,2023-02-26,,,,,300992480.0,TS01069817,,,,,,,,,,,,8599-SMP-03,300992480.0,,
subject_7328,17.9,2016-11-02,,,,,,,,,,,,,,,,,,,,,
subject_7219,47.4,,,,,,,,,,,,,,,,,,,,,,
subject_5993,78.8,2017-04-02,,QIAGEN RNeasy Micro,161004778.0,16.0,302458047.0,TS01064421,2017-04-05,1.0,7.6,65.1,RNA concentration outside recommended range for RINe,Use for sequencing.,Yes,Pico RNA,3.71,Complete,2017-05-05,5993-SMP-05,302458047.0,C1,SCRIPT_RNAseq_Batch_01
subject_4707,50.8,2018-07-11,,QIAGEN RNeasy Micro,160047191.0,14.0,,,,,9.0,2829.3,,,No,,,,,,,,
subject_6867,64.6,2018-09-24,,,,,,,,,,,,,,,,,,,,,
subject_3458,68.2,,,,,,,,,,,,,,,,,,,,,,
subject_6133,38.1,,,,,,,,,,,,,,,,,,,,,,
subject_4454,83.5,,,,,,,,,,,,,,,,,,,,,,
subject_5397,60.3,2017-12-07,,,,,,,,,,,,,,,,,,,,,
subject_4292,73.8,,,,,,,,,,,,,,,,,,,,,,
subject_7952,96.6,2017-12-08,,QIAGEN RNeasy Plus Micro,170220164.0,12.0,,,,,9.4,300.9,,,No,,,,,,,,
subject_4055,64.5,2016-06-11,,Norgen Single Cell RNA kit,160047191.0,12.0,300597260.0,TS01063219,2016-06-13,1.0,7.8,8741.1,,ok,Yes,Pico RNA,4.29,Complete,2016-06-30,4055-SMP-02,300597260.0,B1,SCRIPT_RNAseq_Batch_01
subject_6016,60.6,,,,,,,,,,,,,,,,,,,,,,
subject_2385,77.9,,,,,,,,,,,,,,,,,,,,,,
subject_7379,78.3,,,,,,,,,,,,,,,,,,,,,,
subject_5031,22.0,,,,,,,,,,,,,,,,,,,,,,
subject_7595,89.8,,,,,,,,,,,,,,,,,,,,,,
subject_5391,71.7,,,,,,,,,,,,,,,,,,,,,,
subject_2818,49.3,,,,,,,,,,,,,,No,,,,,,,,
subject_8599,51.0,,,,,,,,,,,,,,,,,,,,,,
subject_6190,68.0,,,,,,,,,,,,,,,,,,,6190-SMP-05,,,
subject_2965,84.0,2020-06-21,All 7 mL of sample were processed - cell count was too low to sort,QIAGEN RNeasy Micro,170220164.0,12.0,301474289.0,TS01063219,,,,,,,,,,,,2965-SMP-03,301474289.0,,
subject_5833,34.7,,,,,,,,,,,,,,,,,,,,,,
subject_2816,,,,,,,,,,,,,,,,,,,,,,,
subject_5209,28.6,2017-03-24,All 7 mL of sample were processed - cell count was too low to sort,QIAGEN RNeasy Micro,160052304.0,18.0,301128525.0,TS01064421,2017-03-27,3.0,,65.9,ok,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,HSRNA,4.96,Complete,2017-04-13,5209-SMP-03,301128525.0,C1,SCRIPT_RNAseq_Batch_02
subject_6901,47.9,2019-08-20,,,,,,,,,7.8,953.6,,,Yes,,,,,,,,
subject_5003,56.6,,,,,,,,,,,,,,No,,,,,,,,
subject_7644,30.9,,,,,,,,,,,,,,,,,,,,,,
subject_7937,59.5,2018-11-26,,,,,304877564.0,TS01063219,,,,,,,,,,,,7937-SMP-09,304877564.0,,
subject_4290,55.4,,,QIAGEN RNeasy Plus Micro,160052304.0,14.0,300391077.0,TS01069817,,,,,,,,,,,,4290-SMP-05,300391077.0,,
subject_4214,78.3,2025-01-08,,QIAGEN RNeasy Micro,160047191.0,12.0,,,,,,,,,,,,,,,,,
subject_8254,47.3,2019-11-16,,QIAGEN RNeasy Micro,160052304.0,12.0,300177148.0,TS01064421,,,,,,,,,,,,8254-SMP-01,300177148.0,,
subject_6747,74.2,2020-06-18,,QIAGEN RNeasy Micro,160052304.0,16.0,300841102.0,TS01064421,2020-06-18,2.0,6.1,37186.0,,ok,Yes,Standard RNA,1.66,Complete,2020-07-09,6747-SMP-01,300841102.0,B1,SCRIPT_RNAseq_Batch_04
subject_6745,49.6,2019-05-11,,QIAGEN RNeasy Plus Micro,160047191.0,12.0,304088327.0,TS01064421,2019-05-12,3.0,6.3,20175.3,ok,ok,Yes,HSRNA,0.22,Partial,2019-05-31,6745-SMP-02,304088327.0,E1,SCRIPT_RNAseq_Batch_02
subject_5918,59.5,,,,,,,,,,,,,,,,,,,,,,
subject_8241,66.1,2017-04-29,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",QIAGEN RNeasy Micro,160052304.0,18.0,301582770.0,TS01064421,2017-05-01,1.0,6.0,3055.2,RNA concentration outside recommended range for RINe,ok,Yes,HSRNA,0.01,Complete,2017-05-15,8241-SMP-08,301582770.0,B1,SCRIPT_RNAseq_Batch_02
subject_5012,65.5,2021-09-08,,,,,,,,,7.0,4289.7,,,Yes,,,,,,,,
subject_7663,60.1,,,,,,,,,,,,,,,,,,,,,,
subject_5576,72.6,,,,,,,,,,,,,,,,,,,,,,
subject_3466,86.5,2016-03-31,,,,,,,,,,,,,,,,,,,,,
subject_5359,61.5,2016-01-03,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Norgen Single Cell RNA kit,160052304.0,18.0,303133484.0,TS01064421,2016-01-04,3.0,,7945.4,RNA concentration outside recommended range for RINe,ok,Yes,Standard RNA,3.26,Complete,2016-01-30,5359-SMP-05,303133484.0,H1,SCRIPT_RNAseq_Batch_04
subject_4114,45.9,,,,,,,,,,,,,,,,,,,,,,
subject_2796,52.8,2016-09-02,,Norgen Single Cell RNA kit,161004778.0,12.0,304123867.0,TS01069817,2016-09-03,3.0,,25.9,RNA concentration outside recommended range for RINe; RINe edited,Use for sequencing.,Yes,HSRNA,7.99,Complete,2016-09-17,2796-SMP-04,304123867.0,D1,SCRIPT_RNAseq_Batch_02
subject_7585,49.2,2018-03-23,,QIAGEN RNeasy Micro,160052304.0,16.0,301163251.0,TS01063219,2018-03-26,2.0,9.8,51.6,ok,Use for sequencing.,Yes,Pico RNA,3.56,Complete,2018-04-01,7585-SMP-01,301163251.0,G1,SCRIPT_RNAseq_Batch_02
subject_7665,89.1,2023-02-08,,QIAGEN RNeasy Plus Micro,160052304.0,18.0,304705884.0,TS01063219,2023-02-10,1.0,,225.0,ok,Use for sequencing.,Yes,Standard RNA,2.62,Complete,2023-03-05,7665-SMP-05,304705884.0,A1,SCRIPT_RNAseq_Batch_02
subject_2332,99.0,2017-09-20,,,,,,,,,,,,,,,,,,,,,
subject_4506,60.3,,"Traces look ok, decent 18S and 28S peaks. Use for sequencing.",,,,,,,,,,,,,,,,,,,,
subject_3623,59.7,,,,,,,,,,,,,,,,,,,3623-SMP-08,,,
subject_6483,42.4,2016-04-24,,Norgen Single Cell RNA kit,160047191.0,14.0,303859641.0,TS01069817,2016-04-24,2.0,,55.5,,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,Pico RNA,2.37,Complete,2016-05-03,6483-SMP-07,303859641.0,F1,SCRIPT_RNAseq_Batch_02
subject_7338,74.1,2019-04-13,"Traces look ok, decent 18S and 28S peaks. Use for sequencing.",,,,304038038.0,TS01069817,,,6.0,47.8,,,Yes,,,,,7338-SMP-00,304038038.0,,
subject_2420,51.4,2022-07-18,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Norgen Single Cell RNA kit,161004778.0,16.0,302266894.0,TS01063219,2022-07-19,2.0,9.0,1657.5,RNA concentration outside recommended range for RINe; RINe edited,ok,Yes,Pico RNA,1.7,Complete,2022-08-17,2420-SMP-03,302266894.0,A1,SCRIPT_RNAseq_Batch_04
subject_5179,47.1,,,,,,,,,,,,,,,,,,,,,,
subject_3287,85.0,,,,,,,,,,,,,,No,,,,,,,,
subject_5236,44.0,2019-01-13,,,,,,,,,,,,,,,,,,,,,
subject_6082,58.4,2017-08-03,"Traces look ok, decent 18S and 28S peaks. Use for sequencing.",QIAGEN RNeasy Plus Micro,161004778.0,12.0,300017010.0,TS01069817,2017-08-06,1.0,,194.7,RNA concentration outside recommended range for RINe,Use for sequencing.,Yes,Standard RNA,4.11,Complete,2017-08-23,6082-SMP-06,300017010.0,B1,SCRIPT_RNAseq_Batch_01
subject_6149,48.5,2024-12-12,,QIAGEN RNeasy Plus Micro,160052304.0,16.0,303180820.0,TS01069817,2024-12-15,2.0,6.6,3225.2,RNA concentration outside recommended range for RINe,Use for sequencing.,Yes,HSRNA,8.01,Complete,2025-01-11,6149-SMP-02,303180820.0,G1,SCRIPT_RNAseq_Batch_01
subject_2190,46.6,,,,,,,,,,,,,,,,,,,,,,
subject_7753,,,Sample extremely-mucous like; small yield in cells and insufficient amount to sort,,,,,,,,,,,,,,,,,,,,
